City,Temperature (DegC),Cloudiness (%),Latitude,Longitude,Humidity (%),Wind Speed (mps)
Touros,21.0,40,-5.2,-35.46,100,2.1
Mogocha,16.93,100,53.73,119.77,93,5.01
Dawei,25.75,100,14.08,98.2,86,0.8
Kerema,24.95,95,-7.96,145.78,88,2.59
Arona,25.68,4,28.1,-16.68,78,1.0
Dickinson,30.44,40,29.46,-95.05,62,5.7
Dickinson,30.44,40,29.46,-95.05,62,5.7
Løpsmarka,14.83,75,67.31,14.45,82,2.6
Arraial do Cabo,21.46,0,-22.97,-42.03,75,7.83
Russkoye,17.03,35,45.02,34.8,95,1.39
Sambava,19.3,15,-14.27,50.17,77,5.17
Sandūr,23.17,97,15.1,76.55,86,4.58
Longyearbyen,6.0,75,78.22,15.64,87,2.1
La Libertad,21.0,90,-2.23,-80.9,94,4.1
Aykhal,13.0,75,66.0,111.5,87,2.0
Clyde River,6.0,90,70.47,-68.59,93,5.7
Tigzirt,22.52,0,36.89,4.12,67,3.9
Souillac,20.0,40,-20.52,57.52,77,5.7
Nome,14.86,1,64.5,-165.41,66,10.3
Vostok,25.34,6,46.49,135.88,62,1.33
Erzin,26.11,11,36.96,36.2,83,0.66
Acapulco de Juárez,30.0,5,16.86,-99.89,74,3.6
Cap Malheureux,19.44,1,-19.98,57.61,77,4.47
Kutum,23.91,25,14.2,24.67,64,2.73
Qinnan,24.18,99,33.25,119.91,98,3.32
Okha,15.05,100,53.57,142.95,90,3.36
Nishihara,29.74,40,26.18,127.76,84,6.7
Mataram,25.0,75,-8.58,116.12,94,0.5
Mackay,18.36,75,-21.15,149.2,82,3.6
Schwandorf,15.43,90,49.33,12.11,82,1.5
Yunyang,22.84,98,33.45,112.71,84,0.96
Verkhnyaya Sinyachikha,17.68,93,57.98,61.67,90,1.38
Christchurch,11.28,97,-43.53,172.63,93,5.1
Lagoa,20.35,19,39.05,-27.98,79,5.81
Mount Isa,20.0,0,-20.73,139.5,18,4.03
Hyères,19.7,0,43.12,6.12,88,1.56
Northam,14.99,100,51.03,-4.22,97,1.79
Weihai,22.74,100,37.5,122.11,97,4.77
Lata,19.99,0,40.16,-8.33,93,2.24
Najrān,29.0,100,17.49,44.13,23,2.1
Rundu,10.0,0,-17.93,19.77,52,1.5
Pyn U Lwin,27.0,75,22.03,96.47,83,4.1
Saint-Philippe,13.61,75,-21.36,55.77,72,6.2
Corrente,26.23,79,-3.74,-43.34,64,1.38
Sydney Mines,15.99,90,46.24,-60.22,93,2.1
Beringovskiy,9.87,100,63.05,179.32,91,2.02
Baghdad,30.0,0,33.34,44.4,22,4.1
Järvakandi,10.56,78,58.78,24.83,97,0.53
Salalah,27.0,90,17.02,54.09,94,6.2
Ancud,9.72,75,-41.87,-73.82,100,5.7
Vestmannaeyjar,9.53,8,63.44,-20.27,75,12.3
Toguchin,14.37,0,55.24,84.39,81,2.81
Klaksvík,9.0,60,62.23,-6.59,87,8.2
Warwick,26.05,75,41.7,-71.42,69,4.6
Pampa,37.42,1,35.54,-100.96,22,11.3
São João dos Patos,24.47,14,-6.5,-43.7,53,2.6
Sorong,26.15,31,-0.88,131.25,84,3.27
Sorong,26.15,31,-0.88,131.25,84,3.27
Nyrob,13.93,6,60.73,56.72,90,0.68
San Francisco Menéndez,33.0,20,13.84,-90.02,46,1.5
Ostrovnoy,14.87,29,68.05,39.51,63,7.23
Omsukchan,12.53,97,62.53,155.8,66,4.94
Alegrete,19.93,0,-29.78,-55.79,84,4.42
Coyhaique,0.0,90,-45.58,-72.07,91,1.5
Ferkessédougou,22.37,32,9.6,-5.2,92,2.51
Vidim,10.22,81,56.41,103.11,87,1.84
Nizhniy Tsasuchey,11.24,100,50.52,115.13,86,7.59
Redwater,32.15,1,33.36,-94.25,52,2.6
Yei,18.01,100,4.09,30.68,93,1.5
Lodja,20.72,82,-3.48,23.43,53,0.49
Itarema,25.48,61,-2.92,-39.92,79,6.08
Fortuna,20.12,20,40.6,-124.16,68,6.2
Palau,29.0,75,7.5,134.62,74,2.1
Huarmey,16.17,17,-10.07,-78.15,82,3.84
Vicuña,12.0,90,-30.03,-70.71,87,1.0
Vung Tau,28.01,94,10.35,107.08,74,0.29
Tessalit,27.13,19,20.2,1.01,58,7.4
Saint-Martin-Boulogne,14.0,40,50.73,1.62,93,3.26
Ceres,36.15,1,37.59,-120.96,22,5.7
Torbay,15.03,40,47.67,-52.73,55,7.2
Riviere-au-Renard,17.0,20,49.0,-64.4,82,2.7
Bonthe,24.58,99,7.53,-12.51,85,2.32
Dakar,27.0,75,14.69,-17.44,88,4.1
Sola,28.0,90,-13.88,167.55,88,1.32
Great Yarmouth,17.78,88,52.61,1.73,97,1.94
Lusambo,19.6,63,-4.97,23.45,52,0.57
Nisko,18.77,100,50.52,22.14,74,0.89
Spornoye,15.0,0,50.84,37.29,87,3.0
Karlstad,17.12,87,59.38,13.5,82,3.6
Ostróda,17.58,0,53.7,19.96,93,1.0
Vengerovo,18.26,19,55.68,76.75,88,0.24
Avera,31.18,1,33.19,-82.53,55,2.5
Pareora,9.44,91,-44.49,171.21,97,2.3
Alice Springs,15.0,40,-23.7,133.88,22,2.1
Port Hedland,17.0,90,-20.32,118.57,88,3.63
Nānākuli,31.25,40,21.39,-158.15,49,3.6
Yangi Marg`ilon,24.0,52,40.43,71.72,38,4.1
Gamboula,20.56,100,4.12,15.14,97,0.52
Laguna,36.77,1,38.42,-121.42,25,3.1
Khovd,20.08,73,48.01,91.64,46,0.94
Bathsheba,28.0,40,13.22,-59.52,78,5.7
Tongliao,22.04,100,43.61,122.27,70,5.98
Yerbogachën,11.42,15,61.28,108.01,86,2.32
Marzuq,29.37,100,14.4,46.47,37,1.21
Broome,26.91,1,42.25,-75.83,48,1.5
Ibipeba,18.83,13,-11.64,-42.01,71,4.37
Ribeira Grande,20.79,7,38.52,-28.7,80,4.85
Barbate,21.67,0,36.19,-5.92,54,2.53
Barbate,21.67,0,36.19,-5.92,54,2.53
Paamiut,8.37,69,61.99,-49.67,83,4.82
Ketchikan,15.4,90,55.34,-131.65,87,5.1
North Platte,27.0,20,41.12,-100.77,65,1.5
Borş,17.11,100,47.12,21.82,100,2.1
Zapolyarnyy,11.0,97,69.42,30.81,87,4.6
Glendive,24.78,1,47.11,-104.71,38,6.2
Iqaluit,10.0,75,63.75,-68.51,93,1.0
Turiaçu,23.14,28,-1.66,-45.37,93,1.29
Homer,17.33,90,59.64,-151.55,63,2.6
Nueve de Julio,14.77,99,-35.44,-60.88,85,2.45
Koutiala,26.06,37,12.39,-5.46,77,2.73
Krasnosel'kup,13.28,84,65.7,82.47,64,3.21
Sur,29.51,7,22.57,59.53,78,4.35
Baykit,11.61,2,61.67,96.37,63,1.96
Qaqortoq,12.0,64,60.72,-46.03,50,2.6
Thomaston,31.96,1,32.89,-84.33,59,0.72
Ibadan,21.85,87,7.39,3.9,94,1.67
Necochea,10.57,89,-38.55,-58.74,87,2.05
Oodweyne,22.0,90,9.41,45.06,48,8.0
Uauá,19.89,37,-9.84,-39.48,85,7.5
Quzhou,29.07,100,28.96,118.87,74,1.77
Kerikeri,15.0,99,-35.23,173.95,3,4.02
Ulladulla,13.51,87,-35.35,150.47,54,6.2
Kadhan,30.21,3,24.48,68.99,74,4.98
Sungai Raya,25.46,13,0.7,108.9,86,1.19
Hobyo,25.44,72,5.35,48.53,69,11.48
Jardim,23.01,0,-21.48,-56.14,43,2.35
Mafinga,13.13,77,-7.25,35.07,70,1.18
Port Shepstone,18.04,0,-30.74,30.45,28,2.81
Libreville,26.0,20,0.39,9.45,83,4.1
Fasa,26.0,53,28.94,53.65,39,3.5
Muravlenko,17.32,73,63.79,74.52,92,2.68
Arrondissement de Saint-Gaudens,16.48,0,43.08,0.67,82,2.6
Puerto Colombia,28.0,40,10.99,-74.95,83,4.6
Tamandaré,23.96,22,-8.76,-35.1,78,4.57
Kamenka,14.17,0,51.32,42.77,96,2.0
Whitianga,17.78,66,-36.83,175.7,76,4.92
Garissa,24.29,84,-0.45,39.64,57,10.26
Kuusamo,16.0,20,65.97,29.18,82,2.1
Stokmarknes,12.95,64,68.56,14.91,72,4.47
Saint George,40.5,1,37.1,-113.58,8,4.6
Muros,19.44,0,42.78,-9.06,70,1.03
Leningradskiy,5.02,69,69.38,178.42,74,5.58
Nanortalik,8.53,74,60.14,-45.24,77,0.95
Bandarbeyla,26.32,44,9.49,50.81,64,14.38
Krabi,25.29,20,8.07,98.91,100,0.5
Bowen,20.4,75,-20.02,148.23,82,3.42
Agirish,16.01,0,61.92,63.02,85,2.4
Gouré,26.11,4,13.98,10.27,76,3.58
Vardø,10.37,94,70.37,31.11,91,1.31
Vardø,10.37,94,70.37,31.11,91,1.31
Tefé,26.0,75,-3.35,-64.71,88,2.1
Pisco,16.05,4,-13.7,-76.22,82,5.7
Araouane,32.24,69,18.9,-3.53,41,9.7
Hambantota,26.28,83,6.12,81.12,83,5.48
Kabalo,18.64,69,-6.05,26.92,45,3.21
Boa Vista,28.0,40,2.82,-60.67,74,1.5
Lexington,30.65,40,37.99,-84.48,58,5.7
Kuytun,11.36,88,54.34,101.5,73,3.2
Yuxia,22.99,35,34.06,108.63,94,4.0
Babstovo,25.71,14,48.12,132.48,69,1.62
Quatre Cocos,19.71,40,-20.21,57.76,77,5.7
Los Llanos de Aridane,25.91,40,28.66,-17.92,73,5.1
Surčin,16.51,75,44.79,20.28,93,3.6
Aleksandrov Gay,19.49,0,50.15,48.57,72,4.04
Peniche,18.15,0,39.36,-9.38,89,2.68
Östersund,16.0,70,63.18,14.64,77,4.1
Castro Verde Municipality,21.0,0,37.7,-8.09,64,3.1
Puerto Carreño,26.0,20,6.19,-67.49,78,3.1
Broken Hill,12.0,0,-31.95,141.43,34,3.6
Namatanai,28.85,76,-3.67,152.43,70,2.34
Eureka,20.59,1,40.8,-124.16,63,4.1
Bungu,19.62,54,-7.63,39.06,92,2.42
Luena,8.94,0,-11.78,19.92,61,2.61
Sakakah,34.0,8,29.97,40.21,13,2.6
Pangnirtung,12.47,37,66.15,-65.71,62,0.99
São José da Coroa Grande,24.02,18,-8.9,-35.15,77,4.9
Kaeo,15.0,100,-35.1,173.78,3,4.02
San Quintín,23.36,1,30.48,-115.95,66,7.6
Dingli,22.48,20,35.86,14.38,83,1.5
Twin Falls,31.43,1,42.56,-114.46,18,6.2
Bambanglipuro,23.97,65,-7.95,110.28,84,1.59
Sistranda,12.59,75,63.73,8.83,82,2.1
Aklavik,8.0,75,68.22,-135.01,81,5.1
Lehi,33.18,23,40.39,-111.85,24,5.39
Saskylakh,10.06,25,71.92,114.08,64,4.69
Selma,37.38,1,36.57,-119.61,29,3.47
Lālmohan,28.32,100,22.34,90.74,82,5.74
Bereda,16.62,8,43.27,-7.54,100,1.34
Tura,24.01,100,25.52,90.22,97,2.98
Ponta do Sol,21.35,20,32.67,-17.1,60,1.16
Iralaya,27.44,9,15.0,-83.23,82,3.49
Talcahuano,13.0,90,-36.72,-73.12,87,4.1
Chara,11.66,100,56.91,118.26,85,2.88
Murovani Kurylivtsi,16.07,9,48.72,27.52,84,2.58
Kambove,6.74,0,-10.88,26.6,90,2.68
Arrondissement de Bernay,13.32,70,49.17,0.67,92,0.89
Husavik,6.0,75,66.04,-17.34,81,7.2
Warren,30.5,1,39.43,-84.17,52,3.6
Kapoeta,22.29,100,4.77,33.59,69,1.45
Morondava,20.57,20,-20.28,44.28,58,6.02
Morondava,20.57,20,-20.28,44.28,58,6.02
Tuatapere,3.89,0,-46.13,167.68,83,1.34
Kirensk,11.97,7,57.79,108.11,77,1.18
La Ronge,20.0,75,55.1,-105.28,72,1.5
Bintulu,25.49,20,3.17,113.03,94,1.5
Iracoubo,26.1,96,5.48,-53.2,83,4.42
Arman',17.91,97,59.7,150.17,45,3.08
Salinópolis,25.65,60,-0.61,-47.36,85,5.48
Kazachinskoye,12.58,9,57.7,93.28,68,0.34
Ouésso,21.21,63,1.61,16.05,93,0.48
Chapais,24.0,90,49.78,-74.85,53,1.0
Fayaoué,21.42,0,-20.65,166.53,63,4.57
Punta Alta,12.07,48,-38.88,-62.07,64,3.88
San Ramon,30.69,1,37.78,-121.98,31,5.7
Ocampo,19.06,86,21.65,-101.5,57,6.59
Channel-Port aux Basques,14.72,99,47.57,-59.14,88,2.92
Skibbereen,12.0,75,51.55,-9.27,81,5.1
São Miguel do Araguaia,22.63,0,-13.28,-50.16,42,1.35
Alta Floresta,25.71,1,-9.88,-56.09,43,1.66
Neuquén,13.0,75,-38.95,-68.06,66,1.3
Marrakesh,29.0,0,31.63,-8.01,48,2.1
Flinders,15.96,82,-34.58,150.86,67,4.02
Half Moon Bay,24.01,5,37.46,-122.43,50,5.1
Tabou,24.1,13,4.42,-7.35,88,3.05
Mollendo,15.24,91,-17.02,-72.01,78,2.17
Mrakovo,21.31,76,52.72,56.62,73,2.28
Xiaoweizhai,21.58,100,26.19,107.51,93,2.66
Sokoto,25.58,96,13.06,5.24,71,3.58
Manapparai,26.0,40,10.6,78.42,83,2.6
Nakonde,9.29,2,-9.34,32.74,93,4.27
Ranau,27.04,20,5.95,116.66,78,1.5
Santa Cruz de la Sierra,25.0,8,-17.8,-63.17,73,6.2
Grand Gaube,19.44,1,-20.01,57.66,77,4.47
Saint-Augustin,16.29,20,51.23,-58.65,75,4.75
Ilulissat,12.0,100,69.22,-51.1,46,2.1
Millinocket,24.75,20,45.66,-68.71,65,2.35
Nuevo Progreso,29.28,100,23.17,-97.95,60,2.24
Houma,31.07,1,29.6,-90.72,66,3.6
Panabá,27.27,82,21.28,-88.27,84,3.22
Lakes Entrance,15.56,10,-37.88,147.98,60,0.45
Ukiah,35.54,1,39.15,-123.21,22,4.1
Kauswagan,28.89,71,8.19,124.08,77,0.89
Yar-Sale,9.73,99,66.83,70.83,92,5.2
Palaiokomi,20.76,32,40.87,23.9,74,0.89
Mayo,29.58,1,38.89,-76.51,48,2.1
Badarganj,27.94,100,25.67,89.05,84,3.28
Kaa-Khem,15.37,0,51.68,94.73,37,0.99
Skegness,16.9,90,53.14,0.34,93,5.1
Arrondissement de Saint-Jean-de-Maurienne,10.0,36,45.17,6.58,86,0.41
Gulariyā,26.67,87,28.23,81.33,92,1.72
Namwala,7.16,0,-15.75,26.44,79,1.51
Namwala,7.16,0,-15.75,26.44,79,1.51
Jaru,26.25,0,-10.44,-62.47,49,1.23
Yovon,23.95,0,38.31,69.04,40,4.0
Praia da Vitória,21.0,40,38.73,-27.07,83,4.0
Miandrivazo,18.99,56,-19.52,45.47,50,3.67
Madera,34.48,0,37.17,-119.83,21,0.45
Barcelos,20.53,75,41.54,-8.62,100,5.1
Zhezkazgan,23.07,76,47.8,67.71,54,4.4
Sarangani,29.08,23,5.4,125.46,71,4.44
Emerald,17.3,23,-23.53,148.17,55,0.5
Mahon,21.0,0,39.89,4.27,88,2.1
Mtambile,25.03,40,-5.38,39.7,70,8.98
San Policarpo,26.8,100,12.18,125.51,77,2.43
Salihorsk,13.91,0,52.79,27.54,83,1.52
Nikel,11.0,89,69.41,30.22,87,4.6
Nabire,28.03,28,-3.37,135.48,68,1.05
Mitsamiouli,24.45,11,-11.38,43.28,59,5.74
Cao Bang,26.46,100,22.67,106.25,86,1.05
Takoradze,23.89,74,4.88,-1.76,92,3.21
Orlik,8.17,18,52.52,99.83,70,0.24
Bonga,14.62,100,7.28,36.23,91,0.96
Misratah,24.82,3,32.38,15.09,77,3.13
Buchanan,25.0,75,5.88,-10.05,94,3.12
Kosa,14.1,33,59.94,55.0,87,1.68
Iskateley,7.94,13,67.68,53.15,94,3.22
Vila Velha,20.3,40,-20.33,-40.29,88,2.1
Imbituba,20.0,0,-28.24,-48.67,82,5.7
Pasco,26.6,92,28.29,-82.42,91,2.12
Port-Cartier,20.2,75,50.03,-66.87,82,1.5
Brigantine,26.27,1,39.41,-74.36,54,3.1
Constitución,13.06,84,-35.33,-72.42,85,6.06
Dudinka,11.0,77,69.41,86.18,87,4.0
Il’inskiy,16.25,2,55.62,38.12,87,1.77
Coari,24.03,91,-4.08,-63.14,92,0.5
Novouzensk,17.31,0,50.46,48.14,80,3.92
Rumonge,20.15,77,-3.97,29.44,54,1.29
Tual,25.88,66,-5.67,132.75,81,7.57
Bubaque,25.58,100,11.28,-15.83,88,5.75
Sitka,13.0,90,57.05,-135.33,100,4.6
Yulara,11.0,90,-25.24,130.99,50,1.5
Villefontaine,18.73,0,45.61,5.15,59,1.5
Moses Lake,31.94,1,47.13,-119.28,18,4.1
Nosy Varika,19.03,94,-20.58,48.53,79,2.93
Tegul'det,13.51,33,57.31,88.17,65,1.1
Bilibino,20.22,25,68.05,166.44,52,4.24
Tevriz,19.79,85,57.51,72.4,95,1.25
Bilma,29.25,62,18.69,12.92,39,4.22
Bara,23.06,91,10.37,10.73,90,1.8
Omvriaki,17.64,20,39.1,22.27,64,1.04
Poum,21.97,1,-20.23,164.02,62,5.84
Ituporanga,17.78,0,-27.41,-49.6,98,0.45
Ituporanga,17.78,0,-27.41,-49.6,98,0.45
